document_code,indicator_label,category_label,text,quote or transcriber's summary,data_container,confidence,enumerator,explanation
PK5E_M,NRM_STIG,NRM_STIG_N,"Adam will care, and will call her when she finishes work at her own plot. If Adam is inhumane will call her otherwise will let her finish her work first.",quote,E.27,0.9,ENU_2,inspired by answers in the data
PK5E_M,NRM_STIG,NRM_STIG_N,Not a bad thing if we see the changing world around us. Half people (educated) will say good and half (uneducated) will say bad,quote,E.29,0.9,ENU_2,inspired by answers in the data
PK5E_M,NRM_STIG,NRM_STIG_N,"Will say good, you have brought profit, you earn I will look after the kids.",quote,E.30,0.9,ENU_2,inspired by answers in the data
PK5E_M,NRM_STIG,NRM_STIG_N,"Experienced women however, do advise on wheat crop cultivation and then men usually hear to them.",quote,E.21,0.9,ENU_2,inspired by answers in the data
PK5E_M,NRM_STIG,NRM_STIG_N,"Equal opportunities to get education. Good thing, but within the limits set by local norms and customs.",quote,E.31,0.9,ENU_2,inspired by answers in the data
PK5E_M,NRM_STIG,NRM_STIG_N,The equality should be as determined by Islamic Sharia.,quote,E.31,0.9,ENU_2,inspired by answers in the data
PK5E_M,NRM_STIG,NRM_STIG_N,"For now the customs are being followed but things are changing as education among male and female is on rise. Things will not change at once, will take time.",quote,E.18,0.9,ENU_2,inspired by answers in the data
PK5E_M,NRM_STIG,NRM_STIG_N,David will respect her actions and will make the changes.,quote,E.34,0.9,ENU_2,inspired by answers in the data
synthetic,NRM_STIG,NRM_STIG_O,Both boys and girls have equal education.,quote,E.5,0.9,ENU_2,inspired by answers in the data
PK5E_M,NRM_STIG,NRM_STIG_O,"As a mother, an educated woman can be very good to her children.",quote,E.6,0.9,ENU_2,inspired by answers in the data
PK5E_M,NRM_STIG,NRM_STIG_O,"Women's roles are indispensable in some areas such as health and education.""",quote,E.12,0.9,ENU_2,inspired by answers in the data
PK5E_M,NRM_STIG,NRM_STIG_O,"Now schools are being constructed, other things will change with them, because only education can change things for both boys and girls",quote,E.18,0.9,ENU_2,inspired by answers in the data
synthetic,NRM_STIG,NRM_STIG_O,Boy and girl are both asked for consent,quote,E.46,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,We here in village have no freedom in our lives.,quote,E.2,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,Just have freedom at household chores/work nothing else.,quote,E.2,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,"We, sisters, don't study as we are not allowed. Our brother has studied till middle (grade 8th).",quote,E.4,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,Boys can study until and up to whatever level they like. I wish we could have studied too.,quote,E.4,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,"Boys and girls are to be equally educated. Because if a boy can become a doctor so a girl doctor is also needed. Now girls are everywhere in military, police and every other field. I desire to join Pakistan Army but who considers our girls' wishes/decisions?",quote,E.5,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,What can I say if I myself couldn't get education? My parents didn't get me education.,quote,E.5,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,"Girls are to be married to go to others house, that's why they are not given preference, and boys will live with parents.",quote,E.6,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,Local customs and norms are not helpful for girls to go outside home even to school or college.,quote,E.6,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,My brother didn't even allow me to go to this primary girls' school.,quote,E.8,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,My brother didn't permit me to go to school.,quote,E.8,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,Gender stereotypes with regard to female education.,quote,E.9,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,I have a bit of interest in farming activities but I don't do it because this is considered as men's work here.,quote,E.15,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,Women do not work in agriculture fields in this area… because of the deep-rooted gender division of labor and patriarchy.,quote,E.18,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,Male never consult their wives for certain matters. Because they think that women lack certain knowledge and experiences in this respect.,quote,E.24,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,Adam would rather say to Hawa 'You have said this today but do not say and think this next time.,quote,E.26,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,If Hawa will insist in this regard so Adam may abuse/beat her for this.,quote,E.26,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,Adam will say to Hawa you are a woman so you are supposed to live like a woman.,quote,E.26,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,Our men will feel themselves as embarrassed and disgraced when somebody would speak something bad i.e. 'We saw your family woman in the market today.' So this is really hard.,quote,E.40,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,First of all our own family men and community/village men will speak negative about such a woman who goes to the market for selling something.,quote,E.40,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,Truly speaking here our community men would consider Bashir a greedy man who is letting his women his honor go out. Women are considered as one's honor here.,quote,E.29,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,Bashir is a bad person. This is a wrong thing that he is allowing his wife to go out and work.,quote,E.29,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,What kind of man is Bashir that he doesn't think of his honor? He is doing bad to send his wife out to work.,quote,E.29,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,I think it is not easy because this is her own village and all people know each other here. All will see her and her this act as negativity.,quote,E.40,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,Man has all the authority to make decisions. He can even take this money by his wife by forcing her. But a woman cannot do this.,quote,E.37,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,It is Deeno's money so he can do anything with his money. He can buy anything with that or even he can get another marriage.,quote,E.37,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,Men/boys may decide their choices and desires for having a wife or whom they want to get married to but girls/women are never asked.,quote,E.45,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,Women however have no say in this regard either they are going to be the first wife or co-wife no matter.,quote,E.45,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,We have only one man in this community who got a single wife perhaps because he has no money for having another one.,quote,E.45,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,Women are never asked/consulted or given any right in this respect.,quote,E.50,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,"Honestly, here no man asks any woman while planning when to have a child and what should be the family size.",quote,E.50,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,If any woman wants two/less children man would definitely go for another marriage.,quote,E.50,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,We have a practice for planning marriages i.e. giving a girl for another girl whether there is a proper match for her or not. This practice is called as 'Sarraii' in our local context.,quote,E.51,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,Girls do sewing or embroidery work. Boys go outside to agricultural fields.,quote,E.11,0.9,ENU_2,inspired by answers in the data
PK5E_F,NRM_STIG,NRM_STIG_C,We girls should focus on household tasks because we will not get any jobs I know.,quote,E.12,0.9,ENU_2,inspired by answers in the data
